reviewerID,asin,unixReviewTime,rating,similarity_score,anomaly_probability
A3QH8VQDE7HZCR,0972683275,1286236800,5.0,0.2875,0.7125
A6J8D9V5S9MBE,0972683275,1306886400,5.0,0.3279,0.6721
A39Z4OU2C7ENWH,0972683275,1328572800,3.0,0.4189,0.5811
A2E5IK9TUH8UPD,0972683275,1331078400,4.0,0.3332,0.6668
AEQR0VUFBZXUY,0972683275,1363737600,5.0,0.3984,0.6016
A13BWQDECDDVIZ,0972683275,1296950400,4.0,0.3586,0.6414
A12XCRHPREC51Y,0972683275,1371427200,4.0,0.362,0.638
A3QPJS71FU70MX,0972683275,1380240000,4.0,0.3467,0.6533
A2A3B0JX2JRS6S,0972683275,1379462400,5.0,0.4329,0.5671
A1ZPEZMQBCTZQN,0972683275,1384300800,4.0,0.3175,0.6825
A2OGXHE7PVLTOE,0972683275,1324080000,4.0,0.3869,0.6131
A3OYE7X2O08LNT,0972683275,1360195200,4.0,0.3663,0.6337
A2LR9WP2JGDT8E,0972683275,1355702400,2.0,0.3364,0.6636
A18FTRFQQ141CP,0972683275,1332028800,5.0,0.2936,0.7064
A1XEYWWDJ09OEA,0972683275,1297468800,4.0,0.3692,0.6308
A2JMN2JA9LSHVL,0972683275,1354320000,1.0,0.3267,0.6733
A3ATF868IEP191,0972683275,1360540800,4.0,0.3887,0.6113
A14O9P3DV5EHKO,0972683275,1359331200,3.0,0.3949,0.6051
AVHB9LLVCTEKY,0972683275,1375142400,5.0,0.3578,0.6422
A2GPNXFUUV51ZZ,0972683275,1395878400,5.0,0.3781,0.6219
A3CLWR1UUZT6TG,0972683275,1373587200,5.0,0.4104,0.5896
A1V8UZ63FQD382,0972683275,1376870400,5.0,0.3803,0.6197
A3Q7DHKIU7TMBI,0972683275,1357171200,4.0,0.4192,0.5808
AOOQGCJEV25VT,0972683275,1355184000,5.0,0.3548,0.6452
A24OHQK700QEIW,0972683275,1335916800,5.0,0.4068,0.5932
A3T3M5EYGCWSUA,0972683275,1309564800,5.0,0.298,0.702
A38FGQVJM18OWV,0972683275,1291161600,1.0,0.3296,0.6704
A1CA40102FA5N0,0972683275,1395446400,5.0,0.4744,0.5256
A12PFARGH9ELDI,0972683275,1377734400,5.0,0.3452,0.6548
A1P560UNX4SBE7,0972683275,1382400000,5.0,0.4201,0.5799
A28RVT20CEXA8B,0972683275,1295654400,4.0,0.3267,0.6733
A27OMVFGJXH1VB,0972683275,1360886400,5.0,0.3068,0.6932
A3E4YU6APQLRKE,0972683275,1384646400,5.0,0.354,0.646
A1N4DKWTQ9YP1Q,0972683275,1359763200,5.0,0.4726,0.5274
AD0VA39FRVNKN,0972683275,1360627200,5.0,0.3502,0.6498
ABM9CL72EGWKN,0972683275,1383782400,4.0,0.4138,0.5862
A3A7ZJ4QS65X15,0972683275,1360281600,3.0,0.2689,0.7311
A110S8IJ3ZID0D,0972683275,1388620800,5.0,0.3906,0.6094
A11NR4AJK9TNQM,0972683275,1311552000,4.0,0.3215,0.6785
A13M65IGNEQXW1,0972683275,1359158400,3.0,0.317,0.683
A180BZHVJIRWBZ,0972683275,1319241600,4.0,0.4778,0.5222
A1R2514DVWIIMV,0972683275,1293408000,4.0,0.3277,0.6723
A1KM3IPZ9H0JKZ,0972683275,1390867200,4.0,0.3741,0.6259
AZ6SUJ5T0KBE5,0972683275,1374451200,5.0,0.5114,0.4886
