Feature,Type,Missing_Pct,Cardinality,Category,Decision,Reason
V154,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V155,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V156,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V157,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V158,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V159,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V160,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V161,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V162,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V163,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V164,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V165,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V166,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V167,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V168,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V169,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V170,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V171,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V172,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V173,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V174,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V175,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V176,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V177,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V178,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V179,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V180,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V181,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V182,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V183,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V184,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V185,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V186,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V187,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V188,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V189,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V190,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V191,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V192,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V193,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V194,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V195,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V196,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V197,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V198,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V199,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V200,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V201,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V202,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V203,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V204,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V205,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V206,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V207,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V208,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V209,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V210,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V211,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V212,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V213,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V214,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V215,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
V216,float64,varies,continuous,vesta_feature,INCLUDE,"Vesta engineered feature, all backward-looking. No causality risk."
